,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Norway,Norway,GPE,0.09390518,0.36320802,en,111.90000000,4042640-3,3144096,A,62.00000000,10.00000000,EUROPE,Norway,NEU
Venezuela,Venezuela,GPE,0.01591048,0.36608947,en,36.40000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
France,France,GPE,0.05756112,0.34278290,en,34.50000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Europe,Europe,LOC,-0.02651306,0.44779367,en,27.60000000,,0,,,,,,
Indonesia,Indonesia,GPE,-0.13103448,0.18793103,en,14.50000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Northern Norway,Northern Norway,LOC,0.07119728,0.27889431,en,14.10000000,4042640-3,3144096,A,62.00000000,10.00000000,EUROPE,Norway,NEU
Hemsedal,Hemsedal,GPE,-0.02941176,0.01470588,en,13.60000000,7575866-0,3152987,A,60.86114000,8.56537000,EUROPE,Norway,NEU
Japan,Japan,GPE,0.09556595,0.20278520,en,13.60000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Lofoten,Lofoten,GPE,0.02405983,0.34388889,en,13.00000000,,0,,,,,,
Jotunheimen,Jotunheimen,GPE,0.27420000,0.61380000,en,12.50000000,4279128-5,3150707,T,61.63333000,8.30000000,EUROPE,Norway,NEU
Eastern Norway,Eastern Norway,LOC,0.08203245,0.30639731,en,12.10000000,4541848-2,3090660,P,53.64906000,18.72716000,EUROPE,Poland,WCE
Troms,Troms,GPE,0.14215928,0.33439039,en,11.60000000,4426683-2,3133897,A,69.26591000,19.51504000,EUROPE,Norway,NEU
Philippines,Philippines,GPE,-0.15259740,0.42907093,en,9.10000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Austria,Austria,GPE,-0.02210290,0.21478521,en,9.10000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Rogaland,Rogaland,GPE,0.06868687,0.19191919,en,9.00000000,4117072-6,3141558,A,59.09608000,6.20442000,EUROPE,Norway,NEU
China,China,GPE,-0.06807421,0.43702652,en,8.80000000,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
New York,New York,GPE,0.09605169,0.55481283,en,8.50000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Lyngen,Lyngen,GPE,-0.00032666,0.02754791,en,8.20000000,16343008-1,778840,A,69.57621000,20.21702000,EUROPE,Norway,NEU
Nordland,Nordland,GPE,0.06482821,0.26383363,en,7.90000000,4294922-1,3144301,A,66.91400000,14.76254000,EUROPE,Norway,NEU
Tromsø,Tromsø,GPE,0.02754821,0.04420832,en,7.70000000,4060994-7,3133895,P,69.64890000,18.95508000,EUROPE,Norway,NEU
New Zealand,New Zealand,GPE,0.04129321,0.40642339,en,7.10000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
Brazil,Brazil,GPE,0.14285714,0.39285714,en,7.00000000,4008003-1,3469034,A,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Kenya,Kenya,GPE,-0.09895833,0.22656250,en,6.40000000,4030236-2,192950,A,1.00000000,38.00000000,AFRICA,Kenya,SEAF
USA,USA,GPE,-0.14266513,0.39880952,en,6.20000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
US,US,GPE,-0.19612069,0.62500000,en,5.80000000,,0,,,,,,
Spain,Spain,GPE,0.08189655,0.32272325,en,5.80000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Australia,Australia,GPE,0.06410256,0.19871795,en,5.20000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
New Jersey,New Jersey,GPE,0.17603030,0.59154545,en,5.00000000,4442932-0,5099836,P,40.72816000,-74.07764000,NORTH-AMERICA,United States,ENA
the United States,the United States,GPE,-0.00983965,0.23202138,en,4.90000000,,0,,,,,,
Oslo,Oslo,GPE,0.08244681,0.43085106,en,4.70000000,1013733-6,3143244,P,59.91273000,10.74609000,EUROPE,Norway,NEU
Italy,Italy,GPE,-0.00601120,0.40538538,en,4.60000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
India,India,GPE,0.00724638,0.53985507,en,4.60000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
California,California,GPE,-0.05072464,0.24275362,en,4.60000000,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Western Norway,Western Norway,LOC,0.14949495,0.38838384,en,4.40000000,,6629178,T,-77.53333000,167.11667000,POLAR,Antarctica,EAN
Southern Norway,Southern Norway,LOC,0.17500000,0.40000000,en,4.00000000,,3194394,P,45.68361000,14.81583000,EUROPE,Slovenia,WCE
America,America,GPE,0.05625000,0.23333333,en,4.00000000,,0,,,,,,
Switzerland,Switzerland,GPE,0.24305556,0.61666667,en,4.00000000,,2658434,A,47.00016000,8.01427000,EUROPE,Switzerland,WCE
Sweden,Sweden,GPE,0.27855478,0.44133644,en,3.90000000,4077258-5,2661886,A,62.00000000,15.00000000,EUROPE,Sweden,NEU
Afghanistan,Afghanistan,GPE,-0.09909910,0.10360360,en,3.70000000,4000687-6,1149361,A,33.00000000,66.00000000,ASIA,Afghanistan,WCA
Senegal,Senegal,GPE,0.09373464,0.31289926,en,3.70000000,4054529-5,2245662,A,14.50000000,-14.25000000,AFRICA,Senegal,WAF
Madagascar,Madagascar,GPE,0.25225225,0.71171171,en,3.70000000,4074425-5,1062947,A,-20.00000000,47.00000000,AFRICA,Madagascar,MDG
Helgeland,Helgeland,GPE,0.18783784,0.52837838,en,3.70000000,4427606-0,3153187,L,66.50000000,13.75000000,EUROPE,Norway,NEU
Svartisen,Svartisen,GPE,0.08648649,0.48108108,en,3.70000000,,3135212,H,66.65895000,13.93925000,EUROPE,Norway,NEU
the Ivory Coast,the Ivory Coast,GPE,-0.21621622,0.59459459,en,3.70000000,,2287782,L,5.00000000,-5.00000000,AFRICA,Ivory Coast,WAF
the Pacific Ocean,the Pacific Ocean,LOC,0.06906907,0.37012012,en,3.70000000,,7670505,H,7.11300000,171.25400000,PACIFIC,Marshall Islands,EPO
Greenland,Greenland,GPE,0.02895753,0.06467181,en,3.70000000,4022113-1,3425505,A,72.00000000,-40.00000000,POLAR,Greenland,GIC
Germany,Germany,GPE,-0.00429000,0.22844273,en,3.70000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
England,England,GPE,0.00000000,0.00000000,en,3.70000000,4014770-8,11919979,L,44.00000000,-71.00000000,NORTH-AMERICA,United States,ENA
Hamar,Hamar,GPE,0.01373874,0.16869369,en,3.70000000,4094592-3,3154084,P,60.79450000,11.06798000,EUROPE,Norway,NEU
Gaustatoppen,Gaustatoppen,LOC,0.05855856,0.09909910,en,3.70000000,1154511693,8436263,T,59.85422000,8.64917000,EUROPE,Norway,NEU
Kåfjord,Kåfjord,GPE,0.16409266,0.26061776,en,3.70000000,4405866-4,779367,A,69.60400000,20.53456000,EUROPE,Norway,NEU
Africa,Africa,LOC,-0.09189189,0.32072072,en,3.70000000,,0,,,,,,
Paris,Paris,GPE,0.00000000,0.07619048,en,3.50000000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
Svalbard,Svalbard,GPE,0.16000000,0.27928571,en,3.50000000,4118926-7,2729907,P,78.22334000,15.64689000,ARCTIC,Svalbard and Jan Mayen,ARO
Nord,Nord,GPE,0.01666667,0.14880952,en,3.50000000,121416-0,12089031,L,45.41224000,11.54639000,EUROPE,Italy,WCE
Ukraine,Ukraine,GPE,-0.22580645,0.35483871,en,3.10000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Kristiansand,Kristiansand,GPE,-0.03360215,0.41263441,en,3.10000000,4259336-0,3149318,P,58.14671000,7.99560000,EUROPE,Norway,NEU
Sandnes,Sandnes,GPE,0.00000000,0.03225806,en,3.10000000,4240637-7,3140321,P,58.85244000,5.73521000,EUROPE,Norway,NEU
