,phrase,label,sentiment,subjectivity,language,count
Ajax,Ajax,ORG,-0.014285714285714287,0.07921245421245421,en,2.8
Møre,Møre,ORG,0.12454212454212452,0.2692307692307692,en,2.6
Reuters,Reuters,ORG,0.2631578947368421,0.2631578947368421,en,1.9
the Champions League,the Champions League,ORG,0.0,0.03778677462887989,en,1.9
NVE,NVE,ORG,0.07283834586466166,0.11278195488721804,en,1.9
Nord-Troms,Nord-Troms,ORG,0.08421052631578949,0.0,en,1.9
the Meteorological Institute,the Meteorological Institute,ORG,0.21052631578947367,0.25877192982456143,en,1.9
The Meteorological Institute,The Meteorological Institute,ORG,0.09411764705882353,0.0,en,1.7
The Norwegian Meteorological Institute,The Norwegian Meteorological Institute,ORG,0.0,0.0,en,1.7
Varsom,Varsom,ORG,0.0,0.0,en,1.7
DSB,DSB,ORG,-0.4615384615384615,0.7692307692307692,en,1.3
Helgeland,Helgeland,ORG,0.15384615384615385,0.34615384615384615,en,1.3
Nordland,Nordland,ORG,0.07326007326007325,0.0,en,1.3
Troms,Troms,ORG,0.11363636363636363,0.3787878787878788,en,1.2
Ruud,Ruud,ORG,0.37499999999999994,0.47348484848484845,en,1.1
KYIV,KYIV,ORG,-0.3,0.0,en,1.0
MGP,MGP,ORG,0.0,0.0,en,1.0
Norwegian Meteorological Institute,Norwegian Meteorological Institute,ORG,-0.15,0.0,en,1.0
US Weather Prediction,US Weather Prediction,ORG,-1.0,0.0,en,1.0
Lista,Lista,ORG,0.0,0.0,en,1.0
Vestland,Vestland,ORG,0.0,0.0,en,1.0
Sabalenka,Sabalenka,ORG,0.06666666666666667,0.0,en,1.0
the Security Council of Business,the Security Council of Business,ORG,-0.6,0.0,en,1.0
Freeriders,Freeriders,ORG,0.0,0.0,en,1.0
Finsterkopf,Finsterkopf,ORG,0.0,0.0,en,1.0
Al Jazeera,Al Jazeera,ORG,0.06,0.0,en,1.0
TikTok,TikTok,ORG,0.1,0.0,en,1.0
Varsom.no,Varsom.no,ORG,0.0,0.0,en,1.0
Swiss Olympic,Swiss Olympic,ORG,0.0,0.0,en,1.0
HBO,HBO,ORG,0.3,0.0,en,1.0
Agder,Agder,ORG,-0.07777777777777779,0.0,en,1.0
Casper Ruud,Casper Ruud,ORG,0.0,0.0,en,1.0
Nature,Nature,ORG,-0.125,0.0,en,1.0
The Norwegian Meteorological Institute and Varsom,The Norwegian Meteorological Institute and Varsom,ORG,0.0,0.0,en,1.0
The Norwegian Directorate of Water Resources and Energy,The Norwegian Directorate of Water Resources and Energy,ORG,0.10714285714285714,0.0,en,1.0
