,phrase,label,sentiment,subjectivity,language,count
Indre Troms,Indre Troms,PERSON,0.08421052631578949,0.4859649122807017,en,1.9
Oliver Edvardsen,Oliver Edvardsen,PERSON,0.0,0.07179487179487179,en,1.0
Audun Hetland,Audun Hetland,PERSON,0.0,1.0,en,1.0
Robin Åsheim Lindberg,Robin Åsheim Lindberg,PERSON,0.0,0.0,en,1.0
Frida Karlsson,Frida Karlsson,PERSON,-0.125,0.15833333333333333,en,1.0
Ellen Holager Andenæs,Ellen Holager Andenæs,PERSON,-0.07500000000000001,0.44166666666666665,en,1.0
Marius Borg Høiby,Marius Borg Høiby,PERSON,-0.07500000000000001,0.44166666666666665,en,1.0
Tornado Måløy,Tornado Måløy,PERSON,0.0,0.0,en,1.0
Elina Svitolina,Elina Svitolina,PERSON,0.03333333333333333,0.3333333333333333,en,1.0
Aryna Sabalenka,Aryna Sabalenka,PERSON,0.03333333333333333,0.3333333333333333,en,1.0
IK Tjalve,IK Tjalve,PERSON,0.0,0.0,en,1.0
Sander Aae Skotheim,Sander Aae Skotheim,PERSON,0.0,0.0,en,1.0
Antonin Guigonnat,Antonin Guigonnat,PERSON,0.0,0.03333333333333333,en,1.0
Jacob Asherman,Jacob Asherman,PERSON,-1.0,1.0,en,1.0
Anton Gaaei,Anton Gaaei,PERSON,-0.04,0.15,en,1.0
Alexander Rybak,Alexander Rybak,PERSON,0.0,0.0,en,1.0
Ola Bakke Aashammer,Ola Bakke Aashammer,PERSON,0.39999999999999997,0.4916666666666667,en,1.0
Ross Rebagliati,Ross Rebagliati,PERSON,0.0,0.0,en,1.0
Ueli Kestenholz,Ueli Kestenholz,PERSON,0.2857142857142857,0.5357142857142857,en,1.0
Nils Grimsmo,Nils Grimsmo,PERSON,0.0,0.0,en,1.0
John-Patrick Smith,John-Patrick Smith,PERSON,0.0,0.5,en,1.0
Storm Hunter,Storm Hunter,PERSON,0.0,0.5,en,1.0
Viktor Durasovic,Viktor Durasovic,PERSON,0.0,0.5,en,1.0
Ulrikke Eikeri,Ulrikke Eikeri,PERSON,0.0,0.5,en,1.0
Storm Hun,Storm Hun,PERSON,0.2,0.4,en,1.0
Malene Helgø,Malene Helgø,PERSON,0.2,0.4,en,1.0
Alex de Minaur,Alex de Minaur,PERSON,0.0,0.0,en,1.0
Karl Erik Thomassen,Karl Erik Thomassen,PERSON,0.0,0.0,en,1.0
Heidi Tofterå Slettemoen,Heidi Tofterå Slettemoen,PERSON,0.0,0.0,en,1.0
Frende Forsikring,Frende Forsikring,PERSON,0.0,0.0,en,1.0
Lille Petter Edderkopp,Lille Petter Edderkopp,PERSON,0.0,0.0,en,1.0
